248667,Biography Drama Sport ,nm0000226 nm0004937 nm0000685 nm0005522 ,12/25/2001,nm0000520 ,English French,USA,A biography of sports legend,,,
1379177,Crime Thriller ,nm2605345 nm0550371 nm1161994 ,4/30/2010,nm2128335 ,English,UK,A rich man's daughter is held captive in an abandoned apartment by two former convicts who abducted her and hold her ransom in exchange for her father's money.,,,
208606,Drama ,nm0477836 nm0765179 nm0044749 nm0162678 ,10/29/1999,nm0218547 ,Turkish,Turkey Italy France,Isa is beaten up after being accused of stealing $50. When his landlord demands the back rent,,,
104029,Horror ,nm0527002 nm0000579 nm0111610 nm0410609 ,1994-05,nm0868219 ,Spanish English,Mexico,A mysterious device designed to provide its owner with eternal life resurfaces after four hundred years,,,
2521188,Drama ,nm0927240 nm1717476 nm0941575 nm0102765 ,1/17/2014,nm1500530 ,Polish English Russian German,Poland,Jerzy is a writer and a chronic alcoholic. We meet him at the point when he believes that he can beat his addiction...,,,
1521848,Comedy ,nm0000366 nm0000367 nm0524528 nm0895759 ,11/5/2010,nm0654830 ,French,France,When her husband is taken hostage by his striking employees,,,
67185,Comedy Romance ,nm0002106 nm0001069 nm0681954 nm0159258 ,12/20/1971,nm0000797 ,English,USA,Young,,,
103855,Drama Music Romance Thriller ,nm0000126 nm0001365 nm0447290 nm0167850 ,11/25/1992,nm0413875 ,English,USA,A former Secret Service agent takes on the job of bodyguard to a pop singer,,,
33553,Drama Horror Sci-Fi ,nm0000075 nm0000006 nm0001805 nm0187981 ,1941-09,nm0281808 ,English,USA,Dr. Jekyll allows his dark side to run wild when he drinks a potion that turns him into the evil Mr. Hyde.,,,
55928,Action Adventure Crime Thriller ,nm0000125 nm0000266 nm0496866 nm0936476 ,5/8/1963,nm0950109 ,English French,UK,A resourceful government agent seeks answers in a case involving a missing colleague and the disruption of the American space program.,,,
1533817,Drama Music ,nm1754366 nm1551922 nm1170124 nm0202966 ,1/25/2011,nm0362734 ,English,USA,Chance Harris looks to find a balance between his school,,,
486544,Documentary Crime History Horror ,nm0108355 nm0171080 nm1722481 nm0279531 ,,nm1341944 ,English,USA,Albert Fish,,,
89604,Action Drama Thriller War ,nm0001569 nm0644902 nm0931736 nm0645191 ,3/1/1985,nm0393678 ,English,USA,Prequel to the first Missing In Action,,,
2437954,Action Drama ,nm0219971 nm1182255 nm5856898 nm0695177 ,11/21/2013,nm0788858 ,Hindi Punjabi,India,A common man works as a tax collector in a small city. A TV journalist uncovers the mysterious hero's back story.,,,
80839,Comedy ,nm0000936 nm0501422 nm0001842 nm0212586 ,6/4/1980,nm0003085 ,English,USA,A madcap comedy about Xaviera's attempt to make a film in Hollywood based on her book. Getting mixed up with some of the biggest crooked producers in town,,,
113870,Drama Thriller ,nm0000225 nm0000102 nm0000198 nm0001110 ,1/20/1995,nm0733692 ,English,USA France,An eager and idealistic young attorney defends an Alcatraz prisoner accused of murdering a fellow inmate. The extenuating circumstances: his client had just spent over three years in solitary confinement.,,,
976051,Drama Romance ,nm0000701 nm0000146 nm0004486 nm0354198 ,1/30/2009,nm0197636 ,English German Greek Latin,USA Germany,Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end,,,
82893,Drama War ,nm0000052 nm0550989 nm0454431 nm0320218 ,8/27/1981,nm0146960 ,Italian,Italy France,After the Allies liberate Naples in 1943,,,
2379090,Comedy ,nm1775766 nm3096796 nm4523486 nm4972096 ,,nm0134857 ,English,USA,,,,
181865,Crime Drama Thriller ,nm0000140 nm0001125 nm0001876 nm0889846 ,1/5/2001,nm0001752 ,English Spanish,USA Germany,A conservative judge is appointed by the President to spearhead America's escalating war against drugs,,,
858479,Comedy Drama Romance ,nm0000598 nm0002006 nm0000572 nm0680983 ,4/11/2008,nm1729171 ,English Spanish,USA,Into the life of a widowed professor comes a new love and an unexpected visit from his adopted brother.,,,
2354215,Thriller ,nm0000367 nm0823536 nm0901057 nm1159895 ,6/26/2013,nm1234893 ,French,France Belgium,When a truck trafficking children is intercepted in the desert by the army,,,
317198,Comedy Romance ,nm0000250 nm0000147 nm0000424 nm0428121 ,11/19/2004,nm0452319 ,English German Thai,UK France Germany Ireland USA,After finding love,,,
457572,Comedy Drama Horror Romance ,nm1579372 nm0175262 nm0005251 nm0443286 ,3/16/2007,nm0192933 ,English,Canada,In an Earthly world resembling the 1950s,,,
338564,Crime Mystery Thriller ,nm0490489 nm0504897 nm0938893 nm0874676 ,12/12/2002,nm0490487 nm0538320 ,Cantonese English Thai,Hong Kong,A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole,,,
378194,Action Crime Thriller ,nm0000235 nm0001016 nm0000514 nm0000435 ,4/16/2004,nm0000233 ,English Cantonese Mandarin Spanish,USA,The Bride continues her quest of vengeance against her former boss and lover Bill,,,
1064953,Horror ,nm1141657 nm2712336 nm3076376 nm3076270 ,4/3/2008,nm0477456 ,Korean,South Korea,(Korean with English subtitles) A squad of Korean soldiers is sent to investigate a guard post that overlooks the DMZ...,,,
328077,Drama Horror Romance Thriller ,nm0004993 nm0756089 nm0001424 nm0001800 ,9/8/2004,nm0661484 ,English,USA,The twisted tale of Kenneth,,,
