1559033	Horror 	nm2055792 nm2811944 nm0917347 nm3284401 	2011-09-22	nm2393910 	English	USA UK Bulgaria	Amber dreams of escaping her small town existence and persuades her friends to accompany her to find an apartment in the big city...
0384708		nm0019774 nm0083777 nm0721538 nm0880130 	2003-10-03	nm0952077 	Turkish	Turkey Cyprus Italy	
1024733	Comedy Drama 	nm0000686 nm0005273 nm0000232 nm0001002 		nm0170719 	English	USA	The conservative son of a thrifty conman begrudgingly joins his father on the road -- after being released from jail for one of his dad's earlier crimes.
0131566	Crime Drama History Thriller 	nm0000191 nm0295484 nm0070987 nm0105280 	1999-06-25	nm0213139 	English	UK	The story of Nick Leeson, an ambitious investment broker who singlehandedly bankrupted one of the oldest and most important banks in Britain.
2733992	Documentary Adventure 			nm2741001 nm3840001 	English Gaelic	UK	How do you capture the essence of Scotland in just one film? You invite people from all across the country...
2148823	Short Drama Horror 	nm2381197 nm1864017 nm2459787 nm1913224 		nm2459787 	English	USA	This is a short horror film that will follow young Ester as she enters the murky waters of middle school...
0483631	Comedy 	nm1227152 nm0219752 nm2058848 nm1036889 	2006	nm0301428 	English	USA	Silver, a teenage boy desperate to score with his long time girlfriend Sheila is pursued by many women in the community when an erroneous rumor circulates about his prowess.
0245712	Drama Thriller 	nm0248408 nm0305558 nm0865949 nm0346270 	2000-06-16	nm0327944 	Spanish	Mexico	A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.
0806686	Drama Romance Thriller 	nm0396125 nm0834479 nm1091185 nm0458460 	2008-05-16	nm0678857 	German	Germany	Yella is estranged from her possessive and violent husband; but he can't quite bring himself to give her up. When their fraught interaction finally comes to dramatic conclusion, Yella's life takes an odd shift.
1109478	Action Adventure Horror Thriller 	nm1271759 nm0222088 nm0684500 nm1779714 	2009-04-22	nm1213552 nm0857701 	English French	France Switzerland Luxembourg	A team of several researchers travel to the Swiss Alps to investigate a scientific discovery on human evolution.
1308756	Documentary 	nm3016211 nm0774737 nm0128916 nm0885345 	2013-03-08	nm0225035 	English	USA	A documentary on Arnel Pineda, who was plucked from YouTube to become the new singer for the rock & roll band, Journey.
0099055	Adventure Family Fantasy 	nm0587871 nm0528448 nm0331497 nm0029988 		nm0089276 nm0609109 	English	Canada	Two children are teleported to a magical island and search for the giant Argon to save it.
0338348	Animation Adventure Family Fantasy 	nm0000158 nm0178875 nm0005052 nm0366667 	2004-11-10	nm0000709 	English	USA	On Christmas Eve, a doubting boy boards a magical train that's headed to the North Pole and Santa Claus' home.
1653700	Action Thriller 	nm1527905 nm3377137 nm0192889 nm0858500 	2011-04-29	nm0394024 	English	UK	A soldier returning from the war in Afghanistan uncovers a conspiracy involving the intelligence services and a gang of drug dealers.
0481254	Biography Drama History 	nm0683501 nm0210655 nm0495075 nm0096542 	2006-08-04	nm0722109 	Portuguese English	Brazil	Based on the true story of Zuzu Angel, a famous Brazilian fashion designer in the 70's, who searches for her son Stuart...
0488120	Crime Drama Mystery Thriller 	nm0000164 nm0331516 nm0000657 nm0683253 	2007-04-20	nm0387706 	English	USA Germany	An attorney intent on climbing the career ladder toward success, finds an unlikely opponent in a manipulative criminal he's trying to prosecute.
0361693	Comedy Drama Music Thriller 	nm0001435 nm0176869 nm0350454 nm0103038 	2005-08-05	nm0740400 	English	USA	Happy Endings weaves multiple stories to create a witty look at love, family and the sheer unpredictablity of life itself.
0361696	Family Music Romance 	nm0240381 nm0179173 nm0000360 nm1268888 	2004-10-08	nm0573732 	English French	USA	A girl from a small town heads to the big city of Los Angeles to spend the summer at a performing arts high school.
1456472	Comedy Drama 	nm0681566 nm0604335 nm0836136 nm0769237 	2011-04-15	nm0604335 	Italian German Latin English Spanish Polish French	Italy France	A story centered on the relationship between the newly elected Pope and his therapist.
0374294	Drama Thriller 	nm0225766 nm0719570 nm0163250 nm0544297 	2004-03-17	nm0006445 	French Russian German Greek	France Italy Spain Greece Russia	France, 1936-37. The Popular Front wins elections, the Spanish Civil War begins, and Hitler and Stalin are manipulating and spying...
0114671	Drama War 	nm0001324 nm0665082 nm0093081 nm0319680 	1996-03-22	nm0516360 	English Spanish Catalan	UK Spain Germany Italy	Spring 1936, a young unemployed communist, David, leaves his hometown Liverpool to join the fight against fascism in Spain...
0038363	Comedy Fantasy 	nm0001322 nm0191870 nm0358723 nm0751983 	1945-05-14	nm0000180 	English	UK	Adapted from a play by Noel Coward, Charles and his second wife Ruth, are haunted by the ghost of his first wife, Elvira. Medium Madame Arcati tries to help things out by contacting the ghost.
0451803	Comedy Drama Romance 	nm0006795 nm0784047 nm1229940 nm0451326 	2005-07-15	nm0223522 	Hindi	India	Samir is a very successful doctor: He not only looks after his patient's various maladies, but also looks after his female patients' hearts...
0838192	Comedy 	nm0783124 nm1921479 nm0461210 nm0909515 	2007-08-09	nm1190799 	German	Germany	
0138941	Short Documentary 	nm0104131 nm1388607 nm0104132 		nm0104132 			
0138946	Crime Drama Romance Thriller 	nm0000242 nm0001618 nm0000234 nm0001001 	2000-04-27	nm0336695 	English Spanish	USA	In the rail yards of Queens, contractors repair and rebuild the city's subway cars. These contracts are lucrative...
1425257	Action Drama History 	nm0158414 nm0955782 nm0648499 nm1507882 	2010-02-09	nm0950759 	Mandarin	China	Su Qi-Er retired from his life as a renowned Qing dynasty general in order to pursue his dream of a family and his own martial arts school...
0023613	Comedy Short 	nm0491048 nm0001316 nm0317970 	1932-12-31	nm0550892 	English	USA	Although they are successful fishmongers, Stan convinces Ollie that they should become fishermen too, but making a boat seaworthy is an easy task.
0363143	Drama Horror Mystery Thriller 	nm0000147 nm0365140 nm0240524 nm1580945 	2004-09-17	nm0263009 	English	UK	Awaking from a coma to discover his wife has been killed in a car accident, Ben's world may as well have come to an end...
0281820	Crime Drama Thriller 	nm0000560 nm0000146 nm0474333 nm0256075 	2003-02-28	nm0001403 	English	France UK Ireland Canada	An aging gambler on a losing streak attempts to rob a casino in Monte Carlo. But someone's already tipped off the cops before he even makes a move.
1425253	Horror 	nm1272606 nm1675534 nm2684642 nm0178875 	2010-05-14	nm2508341 	English	Italy	When a young soldier leaves for a mountain biking excursion, he meets the girl of his dreams as well as a group of violent locals who want to see them dead at any cost.
0029671	Crime Drama Thriller 	nm0805532 nm0913248 nm0852834 nm0168168 	1937-10	nm0454734 	English	UK	A man is accused of a series of murders that were actually committed by a crazed killer called "The Tiger." He must prove his innocence and catch the murderer.
1533013	Drama 	nm0790688 nm0004742 nm0973177 nm4480806 	2011-11-04	nm0473329 	English	USA Canada	A married couple on the verge of separation are leveled by the news their 18-year-old son committed a mass shooting at his college, then took his own life.
0454839	Horror Thriller 	nm0104504 nm0173434 nm1895545 nm2856895 		nm1899220 nm0556573 	English	UK	After dating a wonderful man, Hope comes back home, sees her daughter Jennifer and goes to sleep. She wakes-up in the woods with a psychopath...
0050419	Comedy Musical Romance 	nm0000030 nm0000001 nm0860373 nm0041509 	1957-02-13	nm0002045 	English French	USA	An impromptu fashion shoot at a book store brings about a new fashion model discovery in the shop clerk.
0101507	Crime Drama 	nm0000421 nm0000401 nm0015677 nm0042998 	1991-07-12	nm0005436 	English	USA	Saga of a group of childhood friends growing up in a Los Angeles ghetto.
0248667	Biography Drama Sport 	nm0000226 nm0004937 nm0000685 nm0005522 	2001-12-25	nm0000520 	English French	USA	A biography of sports legend, Muhammad Ali, from his early days to his days in the ring.
1379177	Crime Thriller 	nm2605345 nm0550371 nm1161994 	2010-04-30	nm2128335 	English	UK	A rich man's daughter is held captive in an abandoned apartment by two former convicts who abducted her and hold her ransom in exchange for her father's money.
0208606	Drama 	nm0477836 nm0765179 nm0044749 nm0162678 	1999-10-29	nm0218547 	Turkish	Turkey Italy France	Isa is beaten up after being accused of stealing $50. When his landlord demands the back rent, Isa gets angry and shoots him...
0104029	Horror 	nm0527002 nm0000579 nm0111610 nm0410609 	1994-05	nm0868219 	Spanish English	Mexico	A mysterious device designed to provide its owner with eternal life resurfaces after four hundred years, leaving a trail of destruction in its path.
2521188	Drama 	nm0927240 nm1717476 nm0941575 nm0102765 	2014-01-17	nm1500530 	Polish English Russian German	Poland	Jerzy is a writer and a chronic alcoholic. We meet him at the point when he believes that he can beat his addiction...
1521848	Comedy 	nm0000366 nm0000367 nm0524528 nm0895759 	2010-11-05	nm0654830 	French	France	When her husband is taken hostage by his striking employees, a trophy wife (Deneuve) takes the reins...
0067185	Comedy Romance 	nm0002106 nm0001069 nm0681954 nm0159258 	1971-12-20	nm0000797 	English	USA	Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.
0103855	Drama Music Romance Thriller 	nm0000126 nm0001365 nm0447290 nm0167850 	1992-11-25	nm0413875 	English	USA	A former Secret Service agent takes on the job of bodyguard to a pop singer, whose lifestyle is most unlike a President's.
0033553	Drama Horror Sci-Fi 	nm0000075 nm0000006 nm0001805 nm0187981 	1941-09	nm0281808 	English	USA	Dr. Jekyll allows his dark side to run wild when he drinks a potion that turns him into the evil Mr. Hyde.
0055928	Action Adventure Crime Thriller 	nm0000125 nm0000266 nm0496866 nm0936476 	1963-05-08	nm0950109 	English French	UK	A resourceful government agent seeks answers in a case involving a missing colleague and the disruption of the American space program.
1533817	Drama Music 	nm1754366 nm1551922 nm1170124 nm0202966 	2011-01-25	nm0362734 	English	USA	Chance Harris looks to find a balance between his school, work, relationships and opportunity to perform at the nationally televised step competition during homecoming weekend at Truth University.
0486544	Documentary Crime History Horror 	nm0108355 nm0171080 nm1722481 nm0279531 		nm1341944 	English	USA	Albert Fish, the horrific true story of elderly cannibal, sadomasochist, and serial killer, who lured...
0089604	Action Drama Thriller War 	nm0001569 nm0644902 nm0931736 nm0645191 	1985-03-01	nm0393678 	English	USA	Prequel to the first Missing In Action, set in the early 1980s it shows the capture of Colonel Braddock during the Vietnam war in the 1970s, and his captivity with other American POWs in a brutal prison camp, and his plans to escape.
